City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
94,Port Elizabeth,ZA,-33.918,25.5701,74.1,56,20,25.32,few clouds
95,Puerto Ayora,EC,-0.7393,-90.3518,71.56,82,100,5.01,overcast clouds
96,Sao Filipe,CV,14.8961,-24.4956,77.88,72,59,8.9,broken clouds
97,Puerto Escondido,MX,15.85,-97.0667,77.83,78,20,6.91,few clouds
98,Havoysund,NO,70.9963,24.6622,35.83,75,100,8.7,overcast clouds
99,Bengkulu,ID,-3.8004,102.2655,73.9,96,100,2.77,moderate rain
100,Denpasar,ID,-8.65,115.2167,82.06,88,40,5.75,scattered clouds
101,Cabo San Lucas,MX,22.8909,-109.9124,66.06,73,36,1.61,scattered clouds
102,Kaitangata,NZ,-46.2817,169.8464,47.46,78,95,5.7,overcast clouds
103,Belaya Gora,RU,68.5333,146.4167,-27.35,100,97,1.34,overcast clouds
104,Fort Morgan,US,40.2503,-103.8,18.82,79,0,4.61,clear sky
105,Isangel,VU,-19.55,169.2667,77.04,83,14,5.1,few clouds
106,Jamestown,US,42.097,-79.2353,34.18,80,100,11.01,overcast clouds
107,Haines Junction,CA,60.7522,-137.5108,28.35,74,81,2.3,broken clouds
108,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,65,20,9.22,few clouds
109,Provideniya,RU,64.3833,-173.3,12.02,68,1,4.54,clear sky
110,Yemelyanovo,RU,56.1681,92.6767,36.41,75,40,6.71,scattered clouds
111,Hearst,CA,49.6835,-83.6665,21.45,91,100,10.47,light snow
112,Kamariotissa,GR,40.4833,25.4667,63.27,62,24,16.37,few clouds
113,Aswan,EG,24.0934,32.907,87.1,35,0,6.91,clear sky
114,Victoria,HK,22.2855,114.1577,78.19,86,8,10.0,clear sky
115,Maniwaki,CA,46.3834,-75.966,28.78,59,36,8.05,scattered clouds
116,Abalak,RU,58.1286,68.5944,31.03,96,100,10.94,overcast clouds
117,Calama,CL,-22.4667,-68.9333,63.09,17,0,4.61,clear sky
118,Gat,IL,31.61,34.7642,81.28,18,0,8.37,clear sky
119,Klaeng,TH,12.7797,101.6483,84.94,85,67,3.69,broken clouds
120,Bad Hofgastein,AT,47.1667,13.1,56.14,58,1,11.01,clear sky
121,Maraba,BR,-5.3686,-49.1178,89.78,66,40,6.91,scattered clouds
122,Seymchan,RU,62.8833,152.4333,-32.89,100,57,1.48,broken clouds
123,Rafai,CF,4.95,23.9167,85.03,49,20,2.46,few clouds
124,Okha,RU,53.5739,142.9478,14.77,87,32,6.31,scattered clouds
125,Graulhet,FR,43.7669,1.9894,68.74,37,34,3.53,scattered clouds
126,Rosehearty,GB,57.697,-2.1132,54.66,90,5,22.1,clear sky
127,Placido De Castro,BR,-10.3353,-67.1856,95.14,37,100,5.97,overcast clouds
128,Tonj,SS,7.2737,28.6822,88.68,25,99,3.36,overcast clouds
129,Albion,US,42.2431,-84.753,32.81,86,100,8.05,overcast clouds
130,Staraya Russa,RU,57.9944,31.3608,42.67,69,100,9.24,overcast clouds
131,Upernavik,GL,72.7868,-56.1549,20.48,66,68,2.3,broken clouds
132,Bahar,IR,34.9072,48.4414,50.16,40,0,4.61,clear sky
133,Vigrestad,NO,58.5667,5.7,54.59,87,97,12.59,overcast clouds
134,Lorengau,PG,-2.0226,147.2712,81.79,78,98,4.85,moderate rain
135,Impfondo,CG,1.6381,18.0667,78.51,78,88,4.23,overcast clouds
136,Luderitz,NA,-26.6481,15.1594,68.18,63,0,26.71,clear sky
137,Souillac,MU,-20.5167,57.5167,77.38,65,20,3.44,few clouds
138,Cortes,ES,41.9395,-1.4396,69.08,40,7,8.68,clear sky
139,Luba,GQ,3.4568,8.5547,81.28,79,26,7.34,light rain
140,Krasnozerskoye,RU,53.9828,79.2374,34.12,98,100,20.4,light snow
141,Caetite,BR,-14.0694,-42.475,80.8,57,79,4.88,broken clouds
142,Kearney,US,40.6995,-99.0815,21.76,80,0,11.01,clear sky
143,Pyu,MM,18.4833,96.4333,72.77,81,65,4.36,broken clouds
144,Fairbanks,US,64.8378,-147.7164,18.09,87,20,0.0,few clouds
145,Kuruman,ZA,-27.4524,23.4325,77.99,14,0,14.81,clear sky
146,Grand Gaube,MU,-20.0064,57.6608,77.4,61,78,1.01,broken clouds
147,Gushikawa,JP,26.3544,127.8686,74.79,83,40,6.91,scattered clouds
148,Chancay,PE,-11.5714,-77.2672,66.45,75,82,7.45,broken clouds
149,Am Timan,TD,11.0297,20.2827,93.33,18,0,2.64,clear sky
150,Qaanaaq,GL,77.484,-69.3632,4.24,87,100,3.69,overcast clouds
151,Kirakira,SB,-10.4544,161.9205,78.46,84,52,2.64,broken clouds
152,Naryan-Mar,RU,67.6713,53.087,16.07,95,83,11.16,broken clouds
153,Dalbandin,PK,28.8947,64.4101,66.6,37,71,10.36,broken clouds
154,Santa Cruz,BO,-17.8,-63.1667,86.05,66,75,25.32,broken clouds
155,Magadan,RU,59.5667,150.8,1.0,91,29,6.71,scattered clouds
156,Astoria,US,46.1879,-123.8313,36.59,100,100,0.0,fog
157,Yellowknife,CA,62.456,-114.3525,30.72,93,100,4.61,light snow
158,Fort Abbas,PK,29.1925,72.8536,77.31,28,93,7.31,overcast clouds
159,Douglas,US,41.3,-96.167,19.58,88,0,5.75,clear sky
160,Waipawa,NZ,-41.4122,175.5153,52.57,93,71,3.65,broken clouds
161,Katobu,ID,-4.9408,122.5276,76.87,91,98,2.1,overcast clouds
162,Chuy,UY,-33.6971,-53.4616,71.42,79,100,12.73,overcast clouds
163,Trapani,IT,37.8333,12.6667,68.09,83,40,9.22,scattered clouds
164,Port Macquarie,AU,-31.4333,152.9167,68.9,91,100,11.36,light rain
165,Kapaa,US,22.0752,-159.319,73.72,79,0,17.27,clear sky
